SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
1512000	0	0.0	15.7575	3.0014285714285714e+25	0.0
1513800	1800	0.009	32.6199	6.213314285714286e+25	0.001
1515600	3600	0.018	47.8268	9.109866666666668e+25	0.001
1517400	5400	0.027	67.8828	1.2930057142857143e+26	0.001
1519200	7200	0.036	86.5837	1.6492133333333333e+26	0.002
1521000	9000	0.045	110.44	2.1036190476190478e+26	0.002
1522800	10800	0.054	135.217	2.575561904761905e+26	0.003
1524600	12600	0.063	160.768	3.0622476190476193e+26	0.003
1526400	14400	0.072	189.556	3.6105904761904766e+26	0.004
1528200	16200	0.081	218.766	4.166971428571429e+26	0.004
1530000	18000	0.09	250.317	4.767942857142857e+26	0.005
1531800	19800	0.099	282.75	5.385714285714286e+26	0.006
1533600	21600	0.108	317.387	6.045466666666667e+26	0.006
1535400	23400	0.117	349.434	6.655885714285715e+26	0.007
1537200	25200	0.126	384.291	7.319828571428571e+26	0.008
1539000	27000	0.135	419.333	7.987295238095238e+26	0.008
1540800	28800	0.144	456.355	8.692476190476191e+26	0.009
1542600	30600	0.153	493.02	9.390857142857143e+26	0.01
1544400	32400	0.162	529.798	1.0091390476190477e+27	0.011
1546200	34200	0.171	569.075	1.0839523809523811e+27	0.011
1548000	36000	0.18	608.047	1.158184761904762e+27	0.012
1549800	37800	0.189	648.109	1.2344933333333335e+27	0.013
1551600	39600	0.198	688.895	1.3121809523809524e+27	0.014
1553400	41400	0.207	727.494	1.3857028571428572e+27	0.014
1555200	43200	0.216	768.934	1.4646361904761904e+27	0.015
1557000	45000	0.225	810.85	1.5444761904761906e+27	0.016
1558800	46800	0.234	854.408	1.6274438095238097e+27	0.017
1560600	48600	0.243	897.095	1.708752380952381e+27	0.018
1562400	50400	0.252	943.06	1.7963047619047619e+27	0.019
1564200	52200	0.261	989.348	1.884472380952381e+27	0.02
1566000	54000	0.27	1038.38	1.977866666666667e+27	0.021
1567800	55800	0.279	1087.28	2.0710095238095238e+27	0.022
1569600	57600	0.288	1139.71	2.1708761904761906e+27	0.023
1571400	59400	0.297	1190.55	2.2677142857142857e+27	0.024
1573200	61200	0.306	1241.75	2.3652380952380952e+27	0.025
1575000	63000	0.315	1294.1	2.4649523809523808e+27	0.026
1576800	64800	0.324	1350.84	2.573028571428571e+27	0.027
1578600	66600	0.333	1405.99	2.6780761904761903e+27	0.028
1580400	68400	0.342	1464.58	2.7896761904761906e+27	0.029
1582200	70200	0.351	1519.87	2.894990476190476e+27	0.03
1584000	72000	0.36	1574.81	2.9996380952380953e+27	0.031
1585800	73800	0.369	1631.52	3.107657142857143e+27	0.032
1587600	75600	0.378	1684.33	3.208247619047619e+27	0.034
1589400	77400	0.387	1744.07	3.322038095238095e+27	0.035
1591200	79200	0.396	1798.68	3.426057142857143e+27	0.036
1593000	81000	0.405	1859.88	3.5426285714285716e+27	0.037
1594800	82800	0.414	1917.19	3.6517904761904765e+27	0.038
1596600	84600	0.423	1975.61	3.7630666666666665e+27	0.039
1598400	86400	0.432	2034.31	3.8748761904761903e+27	0.041
1600200	88200	0.441	2092.69	3.986076190476191e+27	0.042
1602000	90000	0.45	2155.86	4.1064000000000005e+27	0.043
1603800	91800	0.459	2213.73	4.2166285714285714e+27	0.044
1605600	93600	0.468	2272.65	4.328857142857143e+27	0.045
1607400	95400	0.477	2329.33	4.4368190476190474e+27	0.046
1609200	97200	0.486	2389.79	4.551980952380952e+27	0.048
1611000	99000	0.495	2445.37	4.657847619047619e+27	0.049
1612800	100800	0.504	2503.36	4.7683047619047624e+27	0.05
1614600	102600	0.513	2560.44	4.8770285714285716e+27	0.051
1616400	104400	0.522	2620.18	4.990819047619047e+27	0.052
1618200	106200	0.531	2677.14	5.099314285714286e+27	0.053
1620000	108000	0.54	2738.17	5.215561904761905e+27	0.055
1621800	109800	0.549	2797.18	5.327961904761904e+27	0.056
1623600	111600	0.558	2858.6	5.444952380952381e+27	0.057
1625400	113400	0.567	2916.63	5.555485714285714e+27	0.058
1627200	115200	0.576	2974.87	5.666419047619048e+27	0.059
1629000	117000	0.585	3036.53	5.783866666666667e+27	0.06
1630800	118800	0.594	3098.17	5.901276190476191e+27	0.062
1632600	120600	0.603	3160.7	6.020380952380952e+27	0.063
1634400	122400	0.612	3222.79	6.138647619047619e+27	0.064
1636200	124200	0.621	3282.85	6.253047619047619e+27	0.065
1638000	126000	0.63	3341.55	6.364857142857144e+27	0.067
1639800	127800	0.639	3402.97	6.481847619047619e+27	0.068
1641600	129600	0.648	3466.35	6.602571428571428e+27	0.069
1643400	131400	0.657	3527.42	6.718895238095239e+27	0.07
1645200	133200	0.666	3590.04	6.838171428571428e+27	0.071
1647000	135000	0.675	3651.12	6.954514285714285e+27	0.073
1648800	136800	0.684	3718.26	7.082400000000001e+27	0.074
1650600	138600	0.693	3779.68	7.199390476190476e+27	0.075
1652400	140400	0.702	3844.12	7.322133333333333e+27	0.077
1654200	142200	0.711	3908.89	7.445504761904761e+27	0.078
1656000	144000	0.72	3970.35	7.562571428571428e+27	0.079
1657800	145800	0.729	4035.99	7.6876e+27	0.08
1659600	147600	0.738	4097.21	7.804209523809524e+27	0.082
1661400	149400	0.747	4160.15	7.924095238095238e+27	0.083
1663200	151200	0.756	4224.88	8.047390476190477e+27	0.084
1665000	153000	0.765	4287.1	8.165904761904763e+27	0.085
1666800	154800	0.774	4352.09	8.289695238095238e+27	0.087
1668600	156600	0.783	4414.05	8.407714285714286e+27	0.088
1670400	158400	0.792	4477.66	8.52887619047619e+27	0.089
1672200	160200	0.801	4540.82	8.649180952380952e+27	0.09
1674000	162000	0.81	4607.42	8.776038095238096e+27	0.092
1675800	163800	0.819	4672.39	8.899790476190477e+27	0.093
1677600	165600	0.828	4737.66	9.024114285714286e+27	0.094
1679400	167400	0.837	4805.15	9.152666666666666e+27	0.096
1681200	169200	0.846	4869.93	9.276057142857144e+27	0.097
1683000	171000	0.855	4937.87	9.405466666666667e+27	0.098
1684800	172800	0.864	5002.69	9.528933333333333e+27	0.1
